# L	D_L^MCN0
3.2300e+02	2.5931e-07
3.2400e+02	2.6204e-07
3.2500e+02	2.6193e-07
3.2600e+02	2.7318e-07
3.2700e+02	2.7002e-07
3.2800e+02	2.7554e-07
3.2900e+02	2.7025e-07
3.3000e+02	2.7522e-07
3.3100e+02	2.7909e-07
3.3200e+02	2.8047e-07
3.3300e+02	2.8541e-07
3.3400e+02	2.8236e-07
3.3500e+02	2.8659e-07
3.3600e+02	2.8497e-07
3.3700e+02	2.8987e-07
3.3800e+02	2.9546e-07
3.3900e+02	2.9446e-07
3.4000e+02	2.9394e-07
3.4100e+02	2.9814e-07
3.4200e+02	3.1044e-07
3.4300e+02	3.0726e-07
3.4400e+02	3.1054e-07
3.4500e+02	3.0323e-07
3.4600e+02	3.1404e-07
3.4700e+02	3.2178e-07
3.4800e+02	3.2590e-07
3.4900e+02	3.2224e-07
3.5000e+02	3.2527e-07
3.5100e+02	3.1562e-07
3.5200e+02	3.2806e-07
3.5300e+02	3.2827e-07
3.5400e+02	3.3648e-07
3.5500e+02	3.3910e-07
3.5600e+02	3.4099e-07
3.5700e+02	3.4661e-07
3.5800e+02	3.5249e-07
3.5900e+02	3.5386e-07
3.6000e+02	3.4826e-07
3.6100e+02	3.5669e-07
3.6200e+02	3.5083e-07
3.6300e+02	3.6164e-07
3.6400e+02	3.6432e-07
3.6500e+02	3.6366e-07
3.6600e+02	3.7887e-07
3.6700e+02	3.7844e-07
3.6800e+02	3.8643e-07
3.6900e+02	3.8986e-07
3.7000e+02	3.9184e-07
3.7100e+02	3.9270e-07
3.7200e+02	3.9947e-07
3.7300e+02	4.0206e-07
3.7400e+02	3.9120e-07
3.7500e+02	4.0533e-07
3.7600e+02	3.9958e-07
3.7700e+02	4.0376e-07
3.7800e+02	4.2163e-07
3.7900e+02	4.1987e-07
3.8000e+02	4.3035e-07
3.8100e+02	4.2643e-07
3.8200e+02	4.3639e-07
3.8300e+02	4.2386e-07
3.8400e+02	4.4193e-07
3.8500e+02	4.2569e-07
3.8600e+02	4.4105e-07
3.8700e+02	4.4195e-07
3.8800e+02	4.4670e-07
3.8900e+02	4.6120e-07
3.9000e+02	4.6605e-07
3.9100e+02	4.6231e-07
3.9200e+02	4.6316e-07
3.9300e+02	4.5889e-07
3.9400e+02	4.7482e-07
3.9500e+02	4.9279e-07
3.9600e+02	4.7382e-07
3.9700e+02	4.9323e-07
3.9800e+02	4.8267e-07
3.9900e+02	5.0923e-07
4.0000e+02	4.9270e-07
4.0100e+02	5.0728e-07
4.0200e+02	4.9671e-07
4.0300e+02	5.0299e-07
4.0400e+02	5.0519e-07
4.0500e+02	5.3016e-07
4.0600e+02	5.2925e-07
4.0700e+02	5.3095e-07
4.0800e+02	5.2000e-07
4.0900e+02	5.3669e-07
4.1000e+02	5.4592e-07
4.1100e+02	5.2931e-07
4.1200e+02	5.5866e-07
4.1300e+02	5.5653e-07
4.1400e+02	5.7145e-07
4.1500e+02	5.7281e-07
4.1600e+02	5.7186e-07
4.1700e+02	5.6465e-07
4.1800e+02	5.7722e-07
4.1900e+02	6.0076e-07
4.2000e+02	5.8642e-07
4.2100e+02	6.0179e-07
4.2200e+02	6.0102e-07
4.2300e+02	6.0513e-07
4.2400e+02	5.8820e-07
4.2500e+02	5.9735e-07
4.2600e+02	6.1796e-07
4.2700e+02	5.9176e-07
4.2800e+02	6.1095e-07
4.2900e+02	6.1116e-07
4.3000e+02	6.1100e-07
4.3100e+02	6.4337e-07
4.3200e+02	6.6043e-07
4.3300e+02	6.3402e-07
4.3400e+02	6.5968e-07
4.3500e+02	6.5456e-07
4.3600e+02	6.7627e-07
4.3700e+02	6.5825e-07
4.3800e+02	6.7142e-07
4.3900e+02	6.6547e-07
4.4000e+02	6.9234e-07
4.4100e+02	6.5863e-07
4.4200e+02	6.7838e-07
4.4300e+02	6.7045e-07
4.4400e+02	6.7638e-07
4.4500e+02	6.9699e-07
4.4600e+02	6.8684e-07
4.4700e+02	6.9057e-07
4.4800e+02	6.9156e-07
4.4900e+02	7.0732e-07
4.5000e+02	7.1667e-07
4.5100e+02	7.0831e-07
4.5200e+02	7.2784e-07
