# L	D_L^phi phi
3.1800e+02	3.4713e-08
3.1900e+02	3.4585e-08
3.2000e+02	3.4458e-08
3.2100e+02	3.4332e-08
3.2200e+02	3.4206e-08
3.2300e+02	3.4081e-08
3.2400e+02	3.3956e-08
3.2500e+02	3.3833e-08
3.2600e+02	3.3710e-08
3.2700e+02	3.3587e-08
3.2800e+02	3.3465e-08
3.2900e+02	3.3344e-08
3.3000e+02	3.3224e-08
3.3100e+02	3.3104e-08
3.3200e+02	3.2985e-08
3.3300e+02	3.2867e-08
3.3400e+02	3.2749e-08
3.3500e+02	3.2632e-08
3.3600e+02	3.2515e-08
3.3700e+02	3.2399e-08
3.3800e+02	3.2284e-08
3.3900e+02	3.2169e-08
3.4000e+02	3.2055e-08
3.4100e+02	3.1942e-08
3.4200e+02	3.1829e-08
3.4300e+02	3.1717e-08
3.4400e+02	3.1605e-08
3.4500e+02	3.1494e-08
3.4600e+02	3.1383e-08
3.4700e+02	3.1273e-08
3.4800e+02	3.1163e-08
3.4900e+02	3.1055e-08
3.5000e+02	3.0946e-08
3.5100e+02	3.0838e-08
3.5200e+02	3.0731e-08
3.5300e+02	3.0624e-08
3.5400e+02	3.0518e-08
3.5500e+02	3.0412e-08
3.5600e+02	3.0307e-08
3.5700e+02	3.0202e-08
3.5800e+02	3.0098e-08
3.5900e+02	2.9994e-08
3.6000e+02	2.9891e-08
3.6100e+02	2.9788e-08
3.6200e+02	2.9686e-08
3.6300e+02	2.9585e-08
3.6400e+02	2.9483e-08
3.6500e+02	2.9383e-08
3.6600e+02	2.9283e-08
3.6700e+02	2.9183e-08
3.6800e+02	2.9084e-08
3.6900e+02	2.8985e-08
3.7000e+02	2.8887e-08
3.7100e+02	2.8789e-08
3.7200e+02	2.8692e-08
3.7300e+02	2.8595e-08
3.7400e+02	2.8498e-08
3.7500e+02	2.8403e-08
3.7600e+02	2.8307e-08
3.7700e+02	2.8212e-08
3.7800e+02	2.8118e-08
3.7900e+02	2.8024e-08
3.8000e+02	2.7930e-08
3.8100e+02	2.7837e-08
3.8200e+02	2.7744e-08
3.8300e+02	2.7652e-08
3.8400e+02	2.7560e-08
3.8500e+02	2.7468e-08
3.8600e+02	2.7377e-08
3.8700e+02	2.7287e-08
3.8800e+02	2.7197e-08
3.8900e+02	2.7107e-08
3.9000e+02	2.7018e-08
3.9100e+02	2.6929e-08
3.9200e+02	2.6840e-08
3.9300e+02	2.6752e-08
3.9400e+02	2.6665e-08
3.9500e+02	2.6577e-08
3.9600e+02	2.6491e-08
3.9700e+02	2.6404e-08
3.9800e+02	2.6318e-08
3.9900e+02	2.6232e-08
4.0000e+02	2.6147e-08
4.0100e+02	2.6062e-08
4.0200e+02	2.5978e-08
4.0300e+02	2.5893e-08
4.0400e+02	2.5810e-08
4.0500e+02	2.5726e-08
4.0600e+02	2.5643e-08
4.0700e+02	2.5561e-08
4.0800e+02	2.5478e-08
4.0900e+02	2.5396e-08
4.1000e+02	2.5315e-08
4.1100e+02	2.5234e-08
4.1200e+02	2.5153e-08
4.1300e+02	2.5073e-08
4.1400e+02	2.4993e-08
4.1500e+02	2.4913e-08
4.1600e+02	2.4833e-08
4.1700e+02	2.4754e-08
4.1800e+02	2.4676e-08
4.1900e+02	2.4597e-08
4.2000e+02	2.4519e-08
4.2100e+02	2.4442e-08
4.2200e+02	2.4365e-08
4.2300e+02	2.4288e-08
4.2400e+02	2.4211e-08
4.2500e+02	2.4135e-08
4.2600e+02	2.4059e-08
4.2700e+02	2.3983e-08
4.2800e+02	2.3908e-08
4.2900e+02	2.3833e-08
4.3000e+02	2.3759e-08
4.3100e+02	2.3684e-08
4.3200e+02	2.3611e-08
4.3300e+02	2.3537e-08
4.3400e+02	2.3464e-08
4.3500e+02	2.3391e-08
4.3600e+02	2.3318e-08
4.3700e+02	2.3246e-08
4.3800e+02	2.3174e-08
4.3900e+02	2.3102e-08
4.4000e+02	2.3031e-08
4.4100e+02	2.2960e-08
4.4200e+02	2.2889e-08
4.4300e+02	2.2818e-08
4.4400e+02	2.2748e-08
4.4500e+02	2.2678e-08
4.4600e+02	2.2609e-08
4.4700e+02	2.2540e-08
4.4800e+02	2.2471e-08
4.4900e+02	2.2402e-08
4.5000e+02	2.2333e-08
4.5100e+02	2.2265e-08
4.5200e+02	2.2198e-08
4.5300e+02	2.2130e-08
4.5400e+02	2.2063e-08
4.5500e+02	2.1996e-08
4.5600e+02	2.1929e-08
4.5700e+02	2.1863e-08
4.5800e+02	2.1797e-08
4.5900e+02	2.1731e-08
4.6000e+02	2.1665e-08
4.6100e+02	2.1600e-08
4.6200e+02	2.1535e-08
4.6300e+02	2.1471e-08
4.6400e+02	2.1406e-08
4.6500e+02	2.1342e-08
4.6600e+02	2.1278e-08
4.6700e+02	2.1214e-08
4.6800e+02	2.1151e-08
4.6900e+02	2.1088e-08
4.7000e+02	2.1025e-08
4.7100e+02	2.0963e-08
4.7200e+02	2.0900e-08
4.7300e+02	2.0838e-08
4.7400e+02	2.0777e-08
4.7500e+02	2.0715e-08
4.7600e+02	2.0654e-08
4.7700e+02	2.0593e-08
4.7800e+02	2.0532e-08
4.7900e+02	2.0472e-08
4.8000e+02	2.0412e-08
4.8100e+02	2.0351e-08
4.8200e+02	2.0292e-08
4.8300e+02	2.0232e-08
4.8400e+02	2.0173e-08
4.8500e+02	2.0114e-08
4.8600e+02	2.0056e-08
4.8700e+02	1.9997e-08
4.8800e+02	1.9939e-08
4.8900e+02	1.9881e-08
4.9000e+02	1.9823e-08
4.9100e+02	1.9766e-08
4.9200e+02	1.9708e-08
4.9300e+02	1.9651e-08
4.9400e+02	1.9595e-08
4.9500e+02	1.9538e-08
4.9600e+02	1.9482e-08
4.9700e+02	1.9426e-08
4.9800e+02	1.9370e-08
4.9900e+02	1.9314e-08
5.0000e+02	1.9259e-08
5.0100e+02	1.9204e-08
5.0200e+02	1.9149e-08
5.0300e+02	1.9094e-08
5.0400e+02	1.9040e-08
5.0500e+02	1.8986e-08
5.0600e+02	1.8931e-08
5.0700e+02	1.8878e-08
5.0800e+02	1.8824e-08
5.0900e+02	1.8771e-08
5.1000e+02	1.8718e-08
5.1100e+02	1.8665e-08
5.1200e+02	1.8612e-08
5.1300e+02	1.8560e-08
5.1400e+02	1.8507e-08
5.1500e+02	1.8455e-08
5.1600e+02	1.8404e-08
5.1700e+02	1.8352e-08
5.1800e+02	1.8301e-08
5.1900e+02	1.8249e-08
5.2000e+02	1.8198e-08
5.2100e+02	1.8148e-08
5.2200e+02	1.8097e-08
5.2300e+02	1.8047e-08
5.2400e+02	1.7997e-08
5.2500e+02	1.7947e-08
5.2600e+02	1.7897e-08
5.2700e+02	1.7847e-08
5.2800e+02	1.7798e-08
5.2900e+02	1.7749e-08
5.3000e+02	1.7700e-08
5.3100e+02	1.7651e-08
5.3200e+02	1.7603e-08
5.3300e+02	1.7554e-08
5.3400e+02	1.7506e-08
5.3500e+02	1.7458e-08
5.3600e+02	1.7411e-08
5.3700e+02	1.7363e-08
5.3800e+02	1.7316e-08
5.3900e+02	1.7269e-08
5.4000e+02	1.7221e-08
5.4100e+02	1.7175e-08
5.4200e+02	1.7128e-08
5.4300e+02	1.7082e-08
5.4400e+02	1.7035e-08
5.4500e+02	1.6989e-08
5.4600e+02	1.6943e-08
5.4700e+02	1.6898e-08
5.4800e+02	1.6852e-08
5.4900e+02	1.6807e-08
5.5000e+02	1.6762e-08
5.5100e+02	1.6717e-08
5.5200e+02	1.6672e-08
5.5300e+02	1.6627e-08
5.5400e+02	1.6583e-08
5.5500e+02	1.6539e-08
5.5600e+02	1.6494e-08
5.5700e+02	1.6451e-08
5.5800e+02	1.6407e-08
5.5900e+02	1.6363e-08
5.6000e+02	1.6320e-08
5.6100e+02	1.6277e-08
5.6200e+02	1.6234e-08
5.6300e+02	1.6191e-08
5.6400e+02	1.6148e-08
5.6500e+02	1.6106e-08
5.6600e+02	1.6063e-08
5.6700e+02	1.6021e-08
5.6800e+02	1.5979e-08
5.6900e+02	1.5937e-08
5.7000e+02	1.5895e-08
5.7100e+02	1.5854e-08
5.7200e+02	1.5812e-08
5.7300e+02	1.5771e-08
5.7400e+02	1.5730e-08
5.7500e+02	1.5689e-08
5.7600e+02	1.5648e-08
5.7700e+02	1.5608e-08
5.7800e+02	1.5568e-08
5.7900e+02	1.5527e-08
5.8000e+02	1.5487e-08
5.8100e+02	1.5447e-08
5.8200e+02	1.5408e-08
5.8300e+02	1.5368e-08
5.8400e+02	1.5329e-08
5.8500e+02	1.5289e-08
5.8600e+02	1.5250e-08
5.8700e+02	1.5211e-08
5.8800e+02	1.5172e-08
5.8900e+02	1.5134e-08
5.9000e+02	1.5095e-08
5.9100e+02	1.5057e-08
5.9200e+02	1.5019e-08
5.9300e+02	1.4981e-08
5.9400e+02	1.4943e-08
5.9500e+02	1.4905e-08
5.9600e+02	1.4868e-08
5.9700e+02	1.4830e-08
5.9800e+02	1.4793e-08
5.9900e+02	1.4756e-08
6.0000e+02	1.4719e-08
6.0100e+02	1.4682e-08
6.0200e+02	1.4645e-08
6.0300e+02	1.4609e-08
6.0400e+02	1.4572e-08
6.0500e+02	1.4536e-08
6.0600e+02	1.4500e-08
6.0700e+02	1.4464e-08
6.0800e+02	1.4428e-08
6.0900e+02	1.4392e-08
6.1000e+02	1.4357e-08
6.1100e+02	1.4321e-08
6.1200e+02	1.4286e-08
6.1300e+02	1.4251e-08
6.1400e+02	1.4216e-08
6.1500e+02	1.4181e-08
6.1600e+02	1.4147e-08
6.1700e+02	1.4112e-08
6.1800e+02	1.4078e-08
6.1900e+02	1.4043e-08
6.2000e+02	1.4009e-08
6.2100e+02	1.3975e-08
6.2200e+02	1.3941e-08
6.2300e+02	1.3908e-08
6.2400e+02	1.3874e-08
6.2500e+02	1.3840e-08
6.2600e+02	1.3807e-08
6.2700e+02	1.3774e-08
6.2800e+02	1.3741e-08
6.2900e+02	1.3708e-08
6.3000e+02	1.3675e-08
6.3100e+02	1.3642e-08
6.3200e+02	1.3609e-08
6.3300e+02	1.3577e-08
6.3400e+02	1.3545e-08
6.3500e+02	1.3512e-08
6.3600e+02	1.3480e-08
6.3700e+02	1.3448e-08
6.3800e+02	1.3417e-08
6.3900e+02	1.3385e-08
6.4000e+02	1.3353e-08
6.4100e+02	1.3322e-08
6.4200e+02	1.3290e-08
6.4300e+02	1.3259e-08
6.4400e+02	1.3228e-08
6.4500e+02	1.3197e-08
6.4600e+02	1.3166e-08
6.4700e+02	1.3135e-08
6.4800e+02	1.3105e-08
6.4900e+02	1.3074e-08
6.5000e+02	1.3044e-08
6.5100e+02	1.3013e-08
6.5200e+02	1.2983e-08
6.5300e+02	1.2953e-08
6.5400e+02	1.2923e-08
6.5500e+02	1.2893e-08
6.5600e+02	1.2863e-08
6.5700e+02	1.2834e-08
6.5800e+02	1.2804e-08
6.5900e+02	1.2774e-08
6.6000e+02	1.2745e-08
6.6100e+02	1.2716e-08
6.6200e+02	1.2687e-08
6.6300e+02	1.2658e-08
6.6400e+02	1.2629e-08
6.6500e+02	1.2600e-08
6.6600e+02	1.2571e-08
6.6700e+02	1.2543e-08
6.6800e+02	1.2514e-08
6.6900e+02	1.2486e-08
6.7000e+02	1.2457e-08
6.7100e+02	1.2429e-08
6.7200e+02	1.2401e-08
6.7300e+02	1.2373e-08
6.7400e+02	1.2345e-08
6.7500e+02	1.2317e-08
6.7600e+02	1.2290e-08
6.7700e+02	1.2262e-08
6.7800e+02	1.2235e-08
6.7900e+02	1.2207e-08
6.8000e+02	1.2180e-08
6.8100e+02	1.2153e-08
6.8200e+02	1.2126e-08
6.8300e+02	1.2099e-08
6.8400e+02	1.2072e-08
6.8500e+02	1.2045e-08
6.8600e+02	1.2018e-08
6.8700e+02	1.1992e-08
6.8800e+02	1.1965e-08
6.8900e+02	1.1939e-08
6.9000e+02	1.1912e-08
6.9100e+02	1.1886e-08
6.9200e+02	1.1860e-08
6.9300e+02	1.1834e-08
6.9400e+02	1.1808e-08
6.9500e+02	1.1782e-08
6.9600e+02	1.1757e-08
6.9700e+02	1.1731e-08
6.9800e+02	1.1705e-08
6.9900e+02	1.1680e-08
7.0000e+02	1.1654e-08
7.0100e+02	1.1629e-08
7.0200e+02	1.1604e-08
7.0300e+02	1.1579e-08
7.0400e+02	1.1553e-08
7.0500e+02	1.1528e-08
7.0600e+02	1.1504e-08
7.0700e+02	1.1479e-08
7.0800e+02	1.1454e-08
7.0900e+02	1.1429e-08
7.1000e+02	1.1405e-08
7.1100e+02	1.1381e-08
7.1200e+02	1.1356e-08
7.1300e+02	1.1332e-08
7.1400e+02	1.1308e-08
7.1500e+02	1.1283e-08
7.1600e+02	1.1259e-08
7.1700e+02	1.1235e-08
7.1800e+02	1.1212e-08
7.1900e+02	1.1188e-08
7.2000e+02	1.1164e-08
7.2100e+02	1.1140e-08
7.2200e+02	1.1117e-08
7.2300e+02	1.1093e-08
7.2400e+02	1.1070e-08
7.2500e+02	1.1047e-08
7.2600e+02	1.1023e-08
7.2700e+02	1.1000e-08
7.2800e+02	1.0977e-08
7.2900e+02	1.0954e-08
7.3000e+02	1.0931e-08
7.3100e+02	1.0908e-08
