# pp n0_nofg n0_fg
2.649788956747983594e-13 3.027332031293043732e-13 3.641738756150581795e-13
2.408318228867819770e-13 2.736577639992716134e-13 3.380544292724627243e-13
2.192992582267108283e-13 2.467504725156447237e-13 3.112838593758243723e-13
2.000563034478793238e-13 2.284113293055892302e-13 2.878559902661407423e-13
1.828212007948808187e-13 2.076267969194633698e-13 2.597398209947766933e-13
1.673516636990007609e-13 1.879050297230549455e-13 2.336795052418593281e-13
1.534364123359498488e-13 1.751569732763970362e-13 2.129350961339721580e-13
1.408951312839116051e-13 1.586399341038837601e-13 1.983319474792285400e-13
1.295703448513083067e-13 1.499586727360201099e-13 1.834390320689088772e-13
1.193260465236064889e-13 1.374292267318374462e-13 1.706937348588474829e-13
1.100418731045276555e-13 1.255873674972336686e-13 1.536369981070456101e-13
1.016143088056629383e-13 1.170887173239057135e-13 1.446570847296564591e-13
9.395252852108971245e-14 1.080888937448431488e-13 1.348683877924136608e-13
8.697599141749260051e-14 1.014488144309776699e-13 1.256063229016888408e-13
8.061380700495602737e-14 9.534616050205530361e-14 1.151742296500668169e-13
7.480286371569992803e-14 8.749637867127148274e-14 1.075222430609358689e-13
6.948852626308288044e-14 8.174253162077324377e-14 9.945632182453598428e-14
6.462130440772454994e-14 7.598870480935522721e-14 9.314574132844104141e-14
6.015780790500744882e-14 7.230206815217307218e-14 8.883350674535437913e-14
5.605900051947598168e-14 6.569563717281179218e-14 8.033161996418015694e-14
5.229097881162999110e-14 6.192034834438070235e-14 7.613350522579644554e-14
4.882263922098208313e-14 5.926954213567543286e-14 7.217607830015224767e-14
4.562585318116852612e-14 5.439864224786524492e-14 6.706736353301098565e-14
4.267688065833070490e-14 5.188487616281848781e-14 6.476554675815551543e-14
3.995335506867566006e-14 4.890669769166403239e-14 5.947466828316801180e-14
3.743491042978662164e-14 4.583021346341779494e-14 5.481583958420867528e-14
3.510414341997150505e-14 4.320503056526732976e-14 5.254907376509015682e-14
3.294505069440999815e-14 4.082399645180393692e-14 5.030282038102347241e-14
3.094266984225487763e-14 3.831365294125872375e-14 4.626721965177173280e-14
2.908425259641689156e-14 3.579482913842721612e-14 4.419699512444911418e-14
2.735753838364581643e-14 3.439329996112973538e-14 4.203566852888619035e-14
2.575189249738611964e-14 3.287128751172311181e-14 3.986245939231828609e-14
2.425745032203519537e-14 3.059217722846035785e-14 3.733869126127913547e-14
2.286526361324648809e-14 2.910330762665862779e-14 3.534874086992796440e-14
2.156738849832282478e-14 2.744159917890857957e-14 3.342381992153281794e-14
2.035623201609272882e-14 2.610495981743355830e-14 3.209833771004164680e-14
1.922539753388834354e-14 2.508554883655293991e-14 3.036374159690179410e-14
1.816870342778438451e-14 2.391523156794657220e-14 2.863425121757999719e-14
1.718051000739308330e-14 2.222382252739253725e-14 2.706661023539106103e-14
1.625566625013564702e-14 2.171774601559007176e-14 2.607366268794508484e-14
1.538946232838941915e-14 2.038461963861264489e-14 2.458123780791638233e-14
1.457771650023377143e-14 1.919603308848868044e-14 2.348627016985726084e-14
1.381646068830367409e-14 1.828260923778375132e-14 2.256316779052454810e-14
1.310193837542597025e-14 1.757492864711571829e-14 2.192329997360878334e-14
1.243093743993635832e-14 1.691489212889932628e-14 2.035022404120450584e-14
1.180038767598169605e-14 1.600105714252149315e-14 1.936682713509967229e-14
1.120746538518912458e-14 1.552116982996424780e-14 1.880053717597388480e-14
1.064966912123213162e-14 1.446773155714333767e-14 1.770126254217145280e-14
1.012449741027278496e-14 1.416448435480825569e-14 1.694932538597835209e-14
9.629921537289050130e-15 1.327841126271752023e-14 1.604775957665802662e-14
9.163708984931545161e-15 1.276526340399087223e-14 1.518602119874177906e-14
8.724142771700781049e-15 1.220714479854563446e-14 1.486676752893746474e-14
8.309384119617257496e-15 1.146751482647335784e-14 1.404849711237546680e-14
7.917814875747993848e-15 1.122661354977882920e-14 1.338506653045625528e-14
7.547936878991579291e-15 1.060296141533306612e-14 1.291985803578413368e-14
7.198431523093778587e-15 1.026498202604801772e-14 1.271683058514494401e-14
6.867936546504940677e-15 9.653118337638146173e-15 1.196680120734397485e-14
6.555257936948692648e-15 9.515332353134337957e-15 1.142839531001602979e-14
6.259348499867768483e-15 9.164274326465468604e-15 1.079365357364425095e-14
5.979170680885798069e-15 8.922407471682913480e-15 1.055979771274321622e-14
5.713702887936918903e-15 8.355516832548151197e-15 1.009042137592074438e-14
5.462076017036182257e-15 8.166998520770730370e-15 9.913480468028797751e-15
5.223484234925802362e-15 7.805372931150028571e-15 9.417597559466614338e-15
4.997149222457265136e-15 7.367421213576965030e-15 9.128035301330721546e-15
4.782335635675221863e-15 7.219483715733585858e-15 8.571535861246750091e-15
4.578372422100540009e-15 6.899660472139325789e-15 8.353649804746343752e-15
4.384637358257816341e-15 6.557270554076492423e-15 7.917735805924551999e-15
4.200539846377348226e-15 6.494980198071442207e-15 7.762279600488408693e-15
4.025527970631626854e-15 6.193611485993028960e-15 7.418701418830240932e-15
3.859089727030439824e-15 6.060996368117860258e-15 7.207625192242375002e-15
3.700741859296494555e-15 5.758259438297346994e-15 6.831484337868349069e-15
3.550031993294093280e-15 5.594301301302713825e-15 6.812380638205149309e-15
3.406536428850513091e-15 5.376193123823023995e-15 6.333655855743229652e-15
3.269854575470258167e-15 5.268670288731364568e-15 6.214900483999226587e-15
3.139621321049728612e-15 5.015811446088820023e-15 5.963576362100638406e-15
3.015480458633435901e-15 4.747681887572675313e-15 5.625809204879506176e-15
2.897107693036791325e-15 4.603094525387000559e-15 5.584706239630132970e-15
2.784195170012845261e-15 4.520259787649237743e-15 5.332226255420106450e-15
2.676453646120584873e-15 4.385239389601026055e-15 5.260670909598142601e-15
2.573608347100848930e-15 4.226453593036358777e-15 5.027971446564359364e-15
2.475406639547327887e-15 4.015921511253074496e-15 4.870937330736948248e-15
2.381607920001789176e-15 3.908079807564198908e-15 4.646823585065485106e-15
2.291985697655729012e-15 3.819503960327981462e-15 4.589183044868760761e-15
2.206326668796651763e-15 3.703368088839215252e-15 4.347000469123247908e-15
2.124429858383020641e-15 3.546605193662226736e-15 4.235868185290678945e-15
2.046103445739681372e-15 3.460242470718861674e-15 4.187596294033427984e-15
1.971173608705563053e-15 3.358221125871698165e-15 4.005041182870357848e-15
1.899467113930212519e-15 3.256863483716062215e-15 3.868422371719638895e-15
1.830827251767272774e-15 3.171423415016839760e-15 3.773354791840101282e-15
1.765103807430687852e-15 2.994291161102531108e-15 3.625085081733954136e-15
1.702154885686128701e-15 2.987843518794485454e-15 3.550031428333908375e-15
1.641844417787930745e-15 2.842173898261492443e-15 3.388605580094777359e-15
1.584047732744641334e-15 2.798321234724288238e-15 3.334556555265454576e-15
1.528641208717336924e-15 2.656895696987495044e-15 3.188057115374402168e-15
1.475513547285130206e-15 2.542105795686375028e-15 3.080163407973623922e-15
1.424557532995378487e-15 2.491393043161844326e-15 2.981923696598238378e-15
1.375668234015174065e-15 2.494890416740155886e-15 2.957378770573956430e-15
1.328751444103552945e-15 2.393069746419328105e-15 2.880980947605531006e-15
1.283716181540260561e-15 2.303887495255017144e-15 2.778910854664438560e-15
1.240474636870069494e-15 2.211152603166374839e-15 2.627905077490279890e-15
1.198945162452390638e-15 2.176510008741760090e-15 2.578168943982268888e-15
1.159048825710429775e-15 2.116860743313281388e-15 2.512020715798701957e-15
1.120713694737259174e-15 2.065709834221821676e-15 2.458713073764098236e-15
1.083870000817187716e-15 1.986150746670612946e-15 2.380825241518859519e-15
1.048448766197231450e-15 1.928694290747835607e-15 2.289492227481287477e-15
1.014388609396856827e-15 1.892136727111800970e-15 2.248232325832108849e-15
9.816298357424502147e-16 1.844864457899242259e-15 2.215416177290568783e-15
9.501144468376571576e-16 1.786474759904831374e-15 2.134733784190796727e-15
9.197873676084419315e-16 1.732631561109025260e-15 2.053518248302992764e-15
8.905998604209980470e-16 1.700831651714534123e-15 2.036680968950973179e-15
8.625007743037451246e-16 1.642206340575131649e-15 1.961466903212742598e-15
8.354438206382356320e-16 1.608400299310964324e-15 1.925917943335045477e-15
8.093849310961049217e-16 1.566056083447670208e-15 1.868884616749531048e-15
7.842810641249646213e-16 1.504808342553150878e-15 1.815475822057435258e-15
7.600933714794850369e-16 1.477598824940697385e-15 1.793399667416193758e-15
7.367837576278393738e-16 1.453980404232513220e-15 1.740488156856674213e-15
7.143139212676535721e-16 1.388704365613304316e-15 1.665258306424189042e-15
6.926493926553702327e-16 1.385762131221699882e-15 1.638601864221474851e-15
6.717582438143019402e-16 1.319051410867135381e-15 1.587144080305968819e-15
