 #L        TxT           TxE           TxP           TxW1          ExT           ExE           ExP           ExW1          PxT           PxE           PxP           PxW1          W1xT          W1xE          W1xP         W1xW1       
504   2.482432e+03 -5.605251e+01  3.661400e-06  2.245847e-03 -5.605251e+01  7.684538e+00  8.042422e-07  1.475448e-07  3.661400e-06  8.042422e-07  1.905864e-08  5.145032e-06  2.245847e-03  1.475448e-07  5.145032e-06  4.474706e-03
505   2.489683e+03 -5.500242e+01  3.615878e-06  2.235378e-03 -5.500242e+01  7.586484e+00  7.869233e-07  1.477424e-07  3.615878e-06  7.869233e-07  1.900442e-08  5.140077e-06  2.235378e-03  1.477424e-07  5.140077e-06  4.479406e-03
506   2.496733e+03 -5.393285e+01  3.572555e-06  2.224961e-03 -5.393285e+01  7.492367e+00  7.695946e-07  1.478790e-07  3.572555e-06  7.695946e-07  1.895043e-08  5.135140e-06  2.224961e-03  1.478790e-07  5.135140e-06  4.484104e-03
507   2.503590e+03 -5.284446e+01  3.531399e-06  2.214595e-03 -5.284446e+01  7.402276e+00  7.522579e-07  1.479562e-07  3.531399e-06  7.522579e-07  1.889666e-08  5.130219e-06  2.214595e-03  1.479562e-07  5.130219e-06  4.488798e-03
508   2.510246e+03 -5.173801e+01  3.492376e-06  2.204280e-03 -5.173801e+01  7.316286e+00  7.349146e-07  1.479760e-07  3.492376e-06  7.349146e-07  1.884311e-08  5.125316e-06  2.204280e-03  1.479760e-07  5.125316e-06  4.493489e-03
509   2.516694e+03 -5.061415e+01  3.455454e-06  2.194014e-03 -5.061415e+01  7.234455e+00  7.175662e-07  1.479401e-07  3.455454e-06  7.175662e-07  1.878979e-08  5.120428e-06  2.194014e-03  1.479401e-07  5.120428e-06  4.498176e-03
510   2.522949e+03 -4.947365e+01  3.420600e-06  2.183797e-03 -4.947365e+01  7.156851e+00  7.002145e-07  1.478503e-07  3.420600e-06  7.002145e-07  1.873668e-08  5.115558e-06  2.183797e-03  1.478503e-07  5.115558e-06  4.502861e-03
511   2.528989e+03 -4.831707e+01  3.387782e-06  2.173629e-03 -4.831707e+01  7.083533e+00  6.828609e-07  1.477084e-07  3.387782e-06  6.828609e-07  1.868379e-08  5.110704e-06  2.173629e-03  1.477084e-07  5.110704e-06  4.507543e-03
512   2.534828e+03 -4.714519e+01  3.356967e-06  2.163510e-03 -4.714519e+01  7.014560e+00  6.655069e-07  1.475162e-07  3.356967e-06  6.655069e-07  1.863112e-08  5.105867e-06  2.163510e-03  1.475162e-07  5.105867e-06  4.512221e-03
513   2.540451e+03 -4.595872e+01  3.328122e-06  2.153438e-03 -4.595872e+01  6.950007e+00  6.481543e-07  1.472754e-07  3.328122e-06  6.481543e-07  1.857867e-08  5.101046e-06  2.153438e-03  1.472754e-07  5.101046e-06  4.516897e-03
514   2.545859e+03 -4.475828e+01  3.301215e-06  2.143413e-03 -4.475828e+01  6.889934e+00  6.308045e-07  1.469880e-07  3.301215e-06  6.308045e-07  1.852644e-08  5.096241e-06  2.143413e-03  1.469880e-07  5.096241e-06  4.521569e-03
515   2.551051e+03 -4.354461e+01  3.276213e-06  2.133435e-03 -4.354461e+01  6.834391e+00  6.134590e-07  1.466556e-07  3.276213e-06  6.134590e-07  1.847442e-08  5.091452e-06  2.133435e-03  1.466556e-07  5.091452e-06  4.526239e-03
516   2.556028e+03 -4.231851e+01  3.253083e-06  2.123503e-03 -4.231851e+01  6.783447e+00  5.961195e-07  1.462802e-07  3.253083e-06  5.961195e-07  1.842261e-08  5.086680e-06  2.123503e-03  1.462802e-07  5.086680e-06  4.530905e-03
517   2.560782e+03 -4.108059e+01  3.231793e-06  2.113616e-03 -4.108059e+01  6.737145e+00  5.787876e-07  1.458633e-07  3.231793e-06  5.787876e-07  1.837102e-08  5.081924e-06  2.113616e-03  1.458633e-07  5.081924e-06  4.535568e-03
518   2.565305e+03 -3.983167e+01  3.212310e-06  2.103775e-03 -3.983167e+01  6.695553e+00  5.614647e-07  1.454070e-07  3.212310e-06  5.614647e-07  1.831964e-08  5.077184e-06  2.103775e-03  1.454070e-07  5.077184e-06  4.540229e-03
519   2.569606e+03 -3.857249e+01  3.194601e-06  2.093978e-03 -3.857249e+01  6.658715e+00  5.441525e-07  1.449129e-07  3.194601e-06  5.441525e-07  1.826847e-08  5.072460e-06  2.093978e-03  1.449129e-07  5.072460e-06  4.544886e-03
520   2.573669e+03 -3.730371e+01  3.178634e-06  2.084225e-03 -3.730371e+01  6.626684e+00  5.268525e-07  1.443829e-07  3.178634e-06  5.268525e-07  1.821751e-08  5.067752e-06  2.084225e-03  1.443829e-07  5.067752e-06  4.549540e-03
521   2.577501e+03 -3.602616e+01  3.164377e-06  2.074515e-03 -3.602616e+01  6.599517e+00  5.095664e-07  1.438187e-07  3.164377e-06  5.095664e-07  1.816676e-08  5.063059e-06  2.074515e-03  1.438187e-07  5.063059e-06  4.554192e-03
522   2.581096e+03 -3.474051e+01  3.151796e-06  2.064848e-03 -3.474051e+01  6.577261e+00  4.922955e-07  1.432221e-07  3.151796e-06  4.922955e-07  1.811622e-08  5.058383e-06  2.064848e-03  1.432221e-07  5.058383e-06  4.558840e-03
523   2.584446e+03 -3.344749e+01  3.140858e-06  2.055223e-03 -3.344749e+01  6.559960e+00  4.750416e-07  1.425950e-07  3.140858e-06  4.750416e-07  1.806589e-08  5.053722e-06  2.055223e-03  1.425950e-07  5.053722e-06  4.563486e-03
524   2.587565e+03 -3.214793e+01  3.131532e-06  2.045640e-03 -3.214793e+01  6.547643e+00  4.578062e-07  1.419392e-07  3.131532e-06  4.578062e-07  1.801577e-08  5.049076e-06  2.045640e-03  1.419392e-07  5.049076e-06  4.568128e-03
525   2.590439e+03 -3.084249e+01  3.123784e-06  2.036099e-03 -3.084249e+01  6.540348e+00  4.405908e-07  1.412563e-07  3.123784e-06  4.405908e-07  1.796585e-08  5.044446e-06  2.036099e-03  1.412563e-07  5.044446e-06  4.572768e-03
526   2.593083e+03 -2.953192e+01  3.117583e-06  2.026598e-03 -2.953192e+01  6.538104e+00  4.233970e-07  1.405483e-07  3.117583e-06  4.233970e-07  1.791614e-08  5.039832e-06  2.026598e-03  1.405483e-07  5.039832e-06  4.577404e-03
527   2.595489e+03 -2.821697e+01  3.112894e-06  2.017137e-03 -2.821697e+01  6.540948e+00  4.062264e-07  1.398169e-07  3.112894e-06  4.062264e-07  1.786663e-08  5.035233e-06  2.017137e-03  1.398169e-07  5.035233e-06  4.582038e-03
528   2.597657e+03 -2.689845e+01  3.109686e-06  2.007716e-03 -2.689845e+01  6.548918e+00  3.890806e-07  1.390640e-07  3.109686e-06  3.890806e-07  1.781732e-08  5.030650e-06  2.007716e-03  1.390640e-07  5.030650e-06  4.586669e-03
529   2.599587e+03 -2.557695e+01  3.107926e-06  1.998333e-03 -2.557695e+01  6.562036e+00  3.719611e-07  1.382912e-07  3.107926e-06  3.719611e-07  1.776822e-08  5.026081e-06  1.998333e-03  1.382912e-07  5.026081e-06  4.591297e-03
530   2.601288e+03 -2.425344e+01  3.107581e-06  1.988990e-03 -2.425344e+01  6.580324e+00  3.548694e-07  1.375005e-07  3.107581e-06  3.548694e-07  1.771931e-08  5.021528e-06  1.988990e-03  1.375005e-07  5.021528e-06  4.595922e-03
531   2.602743e+03 -2.292860e+01  3.108619e-06  1.979684e-03 -2.292860e+01  6.603820e+00  3.378072e-07  1.366935e-07  3.108619e-06  3.378072e-07  1.767061e-08  5.016990e-06  1.979684e-03  1.366935e-07  5.016990e-06  4.600544e-03
532   2.603967e+03 -2.160338e+01  3.111006e-06  1.970416e-03 -2.160338e+01  6.632530e+00  3.207761e-07  1.358721e-07  3.111006e-06  3.207761e-07  1.762211e-08  5.012467e-06  1.970416e-03  1.358721e-07  5.012467e-06  4.605163e-03
533   2.604954e+03 -2.027838e+01  3.114711e-06  1.961185e-03 -2.027838e+01  6.666478e+00  3.037774e-07  1.350382e-07  3.114711e-06  3.037774e-07  1.757380e-08  5.007959e-06  1.961185e-03  1.350382e-07  5.007959e-06  4.609780e-03
534   2.605696e+03 -1.895457e+01  3.119701e-06  1.951990e-03 -1.895457e+01  6.705685e+00  2.868130e-07  1.341934e-07  3.119701e-06  2.868130e-07  1.752570e-08  5.003466e-06  1.951990e-03  1.341934e-07  5.003466e-06  4.614393e-03
535   2.606207e+03 -1.763262e+01  3.125943e-06  1.942830e-03 -1.763262e+01  6.750181e+00  2.698842e-07  1.333396e-07  3.125943e-06  2.698842e-07  1.747779e-08  4.998988e-06  1.942830e-03  1.333396e-07  4.998988e-06  4.619004e-03
536   2.606474e+03 -1.631350e+01  3.133404e-06  1.933706e-03 -1.631350e+01  6.799973e+00  2.529927e-07  1.324786e-07  3.133404e-06  2.529927e-07  1.743007e-08  4.994524e-06  1.933706e-03  1.324786e-07  4.994524e-06  4.623612e-03
537   2.606510e+03 -1.499779e+01  3.142051e-06  1.924617e-03 -1.499779e+01  6.855070e+00  2.361401e-07  1.316121e-07  3.142051e-06  2.361401e-07  1.738255e-08  4.990075e-06  1.924617e-03  1.316121e-07  4.990075e-06  4.628217e-03
538   2.606308e+03 -1.368632e+01  3.151853e-06  1.915562e-03 -1.368632e+01  6.915485e+00  2.193278e-07  1.307420e-07  3.151853e-06  2.193278e-07  1.733523e-08  4.985641e-06  1.915562e-03  1.307420e-07  4.985641e-06  4.632820e-03
539   2.605876e+03 -1.237991e+01  3.162776e-06  1.906541e-03 -1.237991e+01  6.981212e+00  2.025575e-07  1.298701e-07  3.162776e-06  2.025575e-07  1.728810e-08  4.981221e-06  1.906541e-03  1.298701e-07  4.981221e-06  4.637419e-03
540   2.605199e+03 -1.107922e+01  3.174788e-06  1.897553e-03 -1.107922e+01  7.052258e+00  1.858308e-07  1.289981e-07  3.174788e-06  1.858308e-07  1.724116e-08  4.976816e-06  1.897553e-03  1.289981e-07  4.976816e-06  4.642016e-03
541   2.604299e+03 -9.785000e+00  3.187857e-06  1.888597e-03 -9.785000e+00  7.128637e+00  1.691491e-07  1.281279e-07  3.187857e-06  1.691491e-07  1.719441e-08  4.972425e-06  1.888597e-03  1.281279e-07  4.972425e-06  4.646610e-03
542   2.603168e+03 -8.498064e+00  3.201948e-06  1.879674e-03 -8.498064e+00  7.210343e+00  1.525142e-07  1.272612e-07  3.201948e-06  1.525142e-07  1.714785e-08  4.968048e-06  1.879674e-03  1.272612e-07  4.968048e-06  4.651202e-03
543   2.601800e+03 -7.219104e+00  3.217030e-06  1.870782e-03 -7.219104e+00  7.297375e+00  1.359274e-07  1.263999e-07  3.217030e-06  1.359274e-07  1.710148e-08  4.963686e-06  1.870782e-03  1.263999e-07  4.963686e-06  4.655790e-03
544   2.600209e+03 -5.948858e+00  3.233071e-06  1.861921e-03 -5.948858e+00  7.389733e+00  1.193905e-07  1.255457e-07  3.233071e-06  1.193905e-07  1.705530e-08  4.959338e-06  1.861921e-03  1.255457e-07  4.959338e-06  4.660376e-03
545   2.598396e+03 -4.688010e+00  3.250037e-06  1.853090e-03 -4.688010e+00  7.487388e+00  1.029049e-07  1.247004e-07  3.250037e-06  1.029049e-07  1.700930e-08  4.955004e-06  1.853090e-03  1.247004e-07  4.955004e-06  4.664959e-03
546   2.596352e+03 -3.437250e+00  3.267896e-06  1.844290e-03 -3.437250e+00  7.590348e+00  8.647222e-08  1.238658e-07  3.267896e-06  8.647222e-08  1.696349e-08  4.950684e-06  1.844290e-03  1.238658e-07  4.950684e-06  4.669540e-03
547   2.594085e+03 -2.197285e+00  3.286615e-06  1.835518e-03 -2.197285e+00  7.698581e+00  7.009405e-08  1.230438e-07  3.286615e-06  7.009405e-08  1.691787e-08  4.946378e-06  1.835518e-03  1.230438e-07  4.946378e-06  4.674118e-03
548   2.591595e+03 -9.687921e-01  3.306161e-06  1.826776e-03 -9.687921e-01  7.812015e+00  5.377195e-08  1.222361e-07  3.306161e-06  5.377195e-08  1.687243e-08  4.942086e-06  1.826776e-03  1.222361e-07  4.942086e-06  4.678693e-03
549   2.588882e+03  2.475127e-01  3.326503e-06  1.818061e-03  2.475127e-01  7.930797e+00  3.750747e-08  1.214445e-07  3.326503e-06  3.750747e-08  1.682718e-08  4.937808e-06  1.818061e-03  1.214445e-07  4.937808e-06  4.683265e-03
550   2.585947e+03  1.450945e+00  3.347606e-06  1.809375e-03  1.450945e+00  8.054705e+00  2.130218e-08  1.206708e-07  3.347606e-06  2.130218e-08  1.678211e-08  4.933543e-06  1.809375e-03  1.206708e-07  4.933543e-06  4.687835e-03
551   2.582803e+03  2.640784e+00  3.369444e-06  1.800715e-03  2.640784e+00  8.183888e+00  5.157548e-09  1.199176e-07  3.369444e-06  5.157548e-09  1.673722e-08  4.929292e-06  1.800715e-03  1.199176e-07  4.929292e-06  4.692402e-03
552   2.579437e+03  3.816311e+00  3.392005e-06  1.792082e-03  3.816311e+00  8.318196e+00 -1.092539e-08  1.191904e-07  3.392005e-06 -1.092539e-08  1.669251e-08  4.925055e-06  1.792082e-03  1.191904e-07  4.925055e-06  4.696967e-03
553   2.575863e+03  4.976807e+00  3.415283e-06  1.783475e-03  4.976807e+00  8.457630e+00 -2.694570e-08  1.184956e-07  3.415283e-06 -2.694570e-08  1.664798e-08  4.920831e-06  1.783475e-03  1.184956e-07  4.920831e-06  4.701528e-03
554   2.572088e+03  6.121567e+00  3.439273e-06  1.774892e-03  6.121567e+00  8.602190e+00 -4.290245e-08  1.178395e-07  3.439273e-06 -4.290245e-08  1.660363e-08  4.916621e-06  1.774892e-03  1.178395e-07  4.916621e-06  4.706088e-03
555   2.568105e+03  7.249862e+00  3.463967e-06  1.766333e-03  7.249862e+00  8.751802e+00 -5.879468e-08  1.172285e-07  3.463967e-06 -5.879468e-08  1.655946e-08  4.912424e-06  1.766333e-03  1.172285e-07  4.912424e-06  4.710645e-03
556   2.563914e+03  8.360972e+00  3.489359e-06  1.757796e-03  8.360972e+00  8.906464e+00 -7.462147e-08  1.166690e-07  3.489359e-06 -7.462147e-08  1.651547e-08  4.908241e-06  1.757796e-03  1.166690e-07  4.908241e-06  4.715199e-03
557   2.559538e+03  9.454252e+00  3.515444e-06  1.749282e-03  9.454252e+00  9.066104e+00 -9.038189e-08  1.161672e-07  3.515444e-06 -9.038189e-08  1.647165e-08  4.904070e-06  1.749282e-03  1.161672e-07  4.904070e-06  4.719751e-03
558   2.554961e+03  1.052895e+01  3.542214e-06  1.740789e-03  1.052895e+01  9.230721e+00 -1.060750e-07  1.157294e-07  3.542214e-06 -1.060750e-07  1.642801e-08  4.899913e-06  1.740789e-03  1.157294e-07  4.899913e-06  4.724300e-03
559   2.550191e+03  1.158455e+01  3.569665e-06  1.732317e-03  1.158455e+01  9.400241e+00 -1.216998e-07  1.153622e-07  3.569665e-06 -1.216998e-07  1.638455e-08  4.895769e-06  1.732317e-03  1.153622e-07  4.895769e-06  4.728847e-03
560   2.545227e+03  1.262038e+01  3.597789e-06  1.723864e-03  1.262038e+01  9.574664e+00 -1.372555e-07  1.150717e-07  3.597789e-06 -1.372555e-07  1.634126e-08  4.891638e-06  1.723864e-03  1.150717e-07  4.891638e-06  4.733392e-03
561   2.540086e+03  1.363578e+01  3.626581e-06  1.715429e-03  1.363578e+01  9.753841e+00 -1.527410e-07  1.148644e-07  3.626581e-06 -1.527410e-07  1.629815e-08  4.887520e-06  1.715429e-03  1.148644e-07  4.887520e-06  4.737934e-03
562   2.534751e+03  1.463029e+01  3.656033e-06  1.707013e-03  1.463029e+01  9.937846e+00 -1.681555e-07  1.147465e-07  3.656033e-06 -1.681555e-07  1.625521e-08  4.883415e-06  1.707013e-03  1.147465e-07  4.883415e-06  4.742474e-03
563   2.529238e+03  1.560311e+01  3.686141e-06  1.698613e-03  1.560311e+01  1.012653e+01 -1.834979e-07  1.147245e-07  3.686141e-06 -1.834979e-07  1.621244e-08  4.879323e-06  1.698613e-03  1.147245e-07  4.879323e-06  4.747012e-03
564   2.523554e+03  1.655371e+01  3.716898e-06  1.690230e-03  1.655371e+01  1.031990e+01 -1.987674e-07  1.148046e-07  3.716898e-06 -1.987674e-07  1.616984e-08  4.875244e-06  1.690230e-03  1.148046e-07  4.875244e-06  4.751548e-03
565   2.517685e+03  1.748157e+01  3.748297e-06  1.681861e-03  1.748157e+01  1.051787e+01 -2.139631e-07  1.149932e-07  3.748297e-06 -2.139631e-07  1.612742e-08  4.871177e-06  1.681861e-03  1.149932e-07  4.871177e-06  4.756081e-03
566   2.511645e+03  1.838617e+01  3.780332e-06  1.673508e-03  1.838617e+01  1.072044e+01 -2.290839e-07  1.152967e-07  3.780332e-06 -2.290839e-07  1.608517e-08  4.867123e-06  1.673508e-03  1.152967e-07  4.867123e-06  4.760612e-03
567   2.505441e+03  1.926685e+01  3.812997e-06  1.665167e-03  1.926685e+01  1.092740e+01 -2.441289e-07  1.157214e-07  3.812997e-06 -2.441289e-07  1.604308e-08  4.863082e-06  1.665167e-03  1.157214e-07  4.863082e-06  4.765141e-03
568   2.499067e+03  2.012315e+01  3.846287e-06  1.656840e-03  2.012315e+01  1.113882e+01 -2.590973e-07  1.162736e-07  3.846287e-06 -2.590973e-07  1.600117e-08  4.859053e-06  1.656840e-03  1.162736e-07  4.859053e-06  4.769667e-03
569   2.492529e+03  2.095457e+01  3.880193e-06  1.648524e-03  2.095457e+01  1.135461e+01 -2.739881e-07  1.169597e-07  3.880193e-06 -2.739881e-07  1.595942e-08  4.855036e-06  1.648524e-03  1.169597e-07  4.855036e-06  4.774192e-03
570   2.485827e+03  2.176058e+01  3.914712e-06  1.640220e-03  2.176058e+01  1.157465e+01 -2.888003e-07  1.177860e-07  3.914712e-06 -2.888003e-07  1.591784e-08  4.851032e-06  1.640220e-03  1.177860e-07  4.851032e-06  4.778715e-03
571   2.478970e+03  2.254058e+01  3.949835e-06  1.631925e-03  2.254058e+01  1.179891e+01 -3.035329e-07  1.187588e-07  3.949835e-06 -3.035329e-07  1.587643e-08  4.847040e-06  1.631925e-03  1.187588e-07  4.847040e-06  4.783235e-03
572   2.471965e+03  2.329428e+01  3.985558e-06  1.623640e-03  2.329428e+01  1.202726e+01 -3.181852e-07  1.198846e-07  3.985558e-06 -3.181852e-07  1.583519e-08  4.843061e-06  1.623640e-03  1.198846e-07  4.843061e-06  4.787754e-03
573   2.464810e+03  2.402109e+01  4.021873e-06  1.615363e-03  2.402109e+01  1.225970e+01 -3.327561e-07  1.211697e-07  4.021873e-06 -3.327561e-07  1.579411e-08  4.839093e-06  1.615363e-03  1.211697e-07  4.839093e-06  4.792270e-03
574   2.457508e+03  2.472071e+01  4.058775e-06  1.607094e-03  2.472071e+01  1.249615e+01 -3.472446e-07  1.226203e-07  4.058775e-06 -3.472446e-07  1.575319e-08  4.835138e-06  1.607094e-03  1.226203e-07  4.835138e-06  4.796785e-03
575   2.450078e+03  2.539276e+01  4.096257e-06  1.598831e-03  2.539276e+01  1.273646e+01 -3.616499e-07  1.242429e-07  4.096257e-06 -3.616499e-07  1.571244e-08  4.831194e-06  1.598831e-03  1.242429e-07  4.831194e-06  4.801298e-03
576   2.442508e+03  2.603681e+01  4.134313e-06  1.590575e-03  2.603681e+01  1.298063e+01 -3.759711e-07  1.260437e-07  4.134313e-06 -3.759711e-07  1.567185e-08  4.827263e-06  1.590575e-03  1.260437e-07  4.827263e-06  4.805808e-03
577   2.434819e+03  2.665240e+01  4.172937e-06  1.582323e-03  2.665240e+01  1.322852e+01 -3.902071e-07  1.280292e-07  4.172937e-06 -3.902071e-07  1.563143e-08  4.823343e-06  1.582323e-03  1.280292e-07  4.823343e-06  4.810317e-03
578   2.427004e+03  2.723910e+01  4.212123e-06  1.574076e-03  2.723910e+01  1.348004e+01 -4.043570e-07  1.302057e-07  4.212123e-06 -4.043570e-07  1.559116e-08  4.819435e-06  1.574076e-03  1.302057e-07  4.819435e-06  4.814825e-03
579   2.419070e+03  2.779667e+01  4.251864e-06  1.565832e-03  2.779667e+01  1.373521e+01 -4.184200e-07  1.325794e-07  4.251864e-06 -4.184200e-07  1.555106e-08  4.815539e-06  1.565832e-03  1.325794e-07  4.815539e-06  4.819330e-03
580   2.411025e+03  2.832468e+01  4.292155e-06  1.557590e-03  2.832468e+01  1.399379e+01 -4.323950e-07  1.351569e-07  4.292155e-06 -4.323950e-07  1.551111e-08  4.811655e-06  1.557590e-03  1.351569e-07  4.811655e-06  4.823833e-03
581   2.402876e+03  2.882268e+01  4.332988e-06  1.549350e-03  2.882268e+01  1.425579e+01 -4.462811e-07  1.379443e-07  4.332988e-06 -4.462811e-07  1.547133e-08  4.807782e-06  1.549350e-03  1.379443e-07  4.807782e-06  4.828335e-03
582   2.394623e+03  2.929029e+01  4.374359e-06  1.541111e-03  2.929029e+01  1.452106e+01 -4.600774e-07  1.409481e-07  4.374359e-06 -4.600774e-07  1.543170e-08  4.803921e-06  1.541111e-03  1.409481e-07  4.803921e-06  4.832835e-03
583   2.386265e+03  2.972723e+01  4.416259e-06  1.532872e-03  2.972723e+01  1.478952e+01 -4.737830e-07  1.441745e-07  4.416259e-06 -4.737830e-07  1.539224e-08  4.800071e-06  1.532872e-03  1.441745e-07  4.800071e-06  4.837334e-03
584   2.377819e+03  3.013304e+01  4.458685e-06  1.524632e-03  3.013304e+01  1.506117e+01 -4.873969e-07  1.476300e-07  4.458685e-06 -4.873969e-07  1.535292e-08  4.796233e-06  1.524632e-03  1.476300e-07  4.796233e-06  4.841831e-03
585   2.369284e+03  3.050743e+01  4.501628e-06  1.516390e-03  3.050743e+01  1.533572e+01 -5.009182e-07  1.513208e-07  4.501628e-06 -5.009182e-07  1.531377e-08  4.792406e-06  1.516390e-03  1.513208e-07  4.792406e-06  4.846326e-03
586   2.360660e+03  3.085003e+01  4.545083e-06  1.508145e-03  3.085003e+01  1.561324e+01 -5.143459e-07  1.552534e-07  4.545083e-06 -5.143459e-07  1.527477e-08  4.788590e-06  1.508145e-03  1.552534e-07  4.788590e-06  4.850820e-03
587   2.351954e+03  3.116069e+01  4.589044e-06  1.499897e-03  3.116069e+01  1.589359e+01 -5.276791e-07  1.594340e-07  4.589044e-06 -5.276791e-07  1.523593e-08  4.784786e-06  1.499897e-03  1.594340e-07  4.784786e-06  4.855312e-03
588   2.343181e+03  3.143911e+01  4.633504e-06  1.491645e-03  3.143911e+01  1.617660e+01 -5.409169e-07  1.638690e-07  4.633504e-06 -5.409169e-07  1.519724e-08  4.780992e-06  1.491645e-03  1.638690e-07  4.780992e-06  4.859802e-03
589   2.334326e+03  3.168507e+01  4.678458e-06  1.483387e-03  3.168507e+01  1.646222e+01 -5.540583e-07  1.685648e-07  4.678458e-06 -5.540583e-07  1.515870e-08  4.777210e-06  1.483387e-03  1.685648e-07  4.777210e-06  4.864291e-03
590   2.325412e+03  3.189827e+01  4.723899e-06  1.475124e-03  3.189827e+01  1.675036e+01 -5.671024e-07  1.735277e-07  4.723899e-06 -5.671024e-07  1.512032e-08  4.773438e-06  1.475124e-03  1.735277e-07  4.773438e-06  4.868779e-03
591   2.316439e+03  3.207857e+01  4.769820e-06  1.466853e-03  3.207857e+01  1.704088e+01 -5.800482e-07  1.787639e-07  4.769820e-06 -5.800482e-07  1.508209e-08  4.769678e-06  1.466853e-03  1.787639e-07  4.769678e-06  4.873265e-03
592   2.307407e+03  3.222560e+01  4.816216e-06  1.458575e-03  3.222560e+01  1.733370e+01 -5.928949e-07  1.842800e-07  4.816216e-06 -5.928949e-07  1.504401e-08  4.765928e-06  1.458575e-03  1.842800e-07  4.765928e-06  4.877750e-03
593   2.298322e+03  3.233927e+01  4.863081e-06  1.450288e-03  3.233927e+01  1.762867e+01 -6.056415e-07  1.900822e-07  4.863081e-06 -6.056415e-07  1.500608e-08  4.762189e-06  1.450288e-03  1.900822e-07  4.762189e-06  4.882233e-03
594   2.289186e+03  3.241945e+01  4.910407e-06  1.441992e-03  3.241945e+01  1.792573e+01 -6.182870e-07  1.961768e-07  4.910407e-06 -6.182870e-07  1.496830e-08  4.758461e-06  1.441992e-03  1.961768e-07  4.758461e-06  4.886715e-03
595   2.280013e+03  3.246598e+01  4.958190e-06  1.433685e-03  3.246598e+01  1.822471e+01 -6.308305e-07  2.025703e-07  4.958190e-06 -6.308305e-07  1.493067e-08  4.754743e-06  1.433685e-03  2.025703e-07  4.754743e-06  4.891196e-03
596   2.270802e+03  3.247871e+01  5.006422e-06  1.425367e-03  3.247871e+01  1.852555e+01 -6.432711e-07  2.092689e-07  5.006422e-06 -6.432711e-07  1.489319e-08  4.751036e-06  1.425367e-03  2.092689e-07  4.751036e-06  4.895675e-03
597   2.261554e+03  3.245743e+01  5.055098e-06  1.417037e-03  3.245743e+01  1.882810e+01 -6.556078e-07  2.162790e-07  5.055098e-06 -6.556078e-07  1.485585e-08  4.747339e-06  1.417037e-03  2.162790e-07  4.747339e-06  4.900154e-03
598   2.252277e+03  3.240214e+01  5.104211e-06  1.408695e-03  3.240214e+01  1.913220e+01 -6.678397e-07  2.236069e-07  5.104211e-06 -6.678397e-07  1.481866e-08  4.743653e-06  1.408695e-03  2.236069e-07  4.743653e-06  4.904631e-03
599   2.242978e+03  3.231260e+01  5.153755e-06  1.400338e-03  3.231260e+01  1.943787e+01 -6.799658e-07  2.312590e-07  5.153755e-06 -6.799658e-07  1.478162e-08  4.739977e-06  1.400338e-03  2.312590e-07  4.739977e-06  4.909106e-03
600   2.233656e+03  3.218883e+01  5.203724e-06  1.391968e-03  3.218883e+01  1.974487e+01 -6.919853e-07  2.392416e-07  5.203724e-06 -6.919853e-07  1.474472e-08  4.736312e-06  1.391968e-03  2.392416e-07  4.736312e-06  4.913581e-03
601   2.224327e+03  3.203081e+01  5.254110e-06  1.383582e-03  3.203081e+01  2.005313e+01 -7.038972e-07  2.475552e-07  5.254110e-06 -7.038972e-07  1.470797e-08  4.732657e-06  1.383582e-03  2.475552e-07  4.732657e-06  4.918055e-03
602   2.214976e+03  3.183864e+01  5.304904e-06  1.375183e-03  3.183864e+01  2.036251e+01 -7.157004e-07  2.561769e-07  5.304904e-06 -7.157004e-07  1.467136e-08  4.729011e-06  1.375183e-03  2.561769e-07  4.729011e-06  4.922527e-03
603   2.205633e+03  3.161215e+01  5.356093e-06  1.366774e-03  3.161215e+01  2.067292e+01 -7.273940e-07  2.650779e-07  5.356093e-06 -7.273940e-07  1.463489e-08  4.725376e-06  1.366774e-03  2.650779e-07  4.725376e-06  4.926998e-03
604   2.196282e+03  3.135142e+01  5.407665e-06  1.358357e-03  3.135142e+01  2.098423e+01 -7.389771e-07  2.742293e-07  5.407665e-06 -7.389771e-07  1.459857e-08  4.721752e-06  1.358357e-03  2.742293e-07  4.721752e-06  4.931469e-03
605   2.186931e+03  3.105646e+01  5.459608e-06  1.349936e-03  3.105646e+01  2.129628e+01 -7.504485e-07  2.836023e-07  5.459608e-06 -7.504485e-07  1.456239e-08  4.718137e-06  1.349936e-03  2.836023e-07  4.718137e-06  4.935938e-03
606   2.177595e+03  3.072733e+01  5.511912e-06  1.341511e-03  3.072733e+01  2.160900e+01 -7.618073e-07  2.931682e-07  5.511912e-06 -7.618073e-07  1.452635e-08  4.714532e-06  1.341511e-03  2.931682e-07  4.714532e-06  4.940406e-03
607   2.168266e+03  3.036396e+01  5.564564e-06  1.333086e-03  3.036396e+01  2.192231e+01 -7.730525e-07  3.028981e-07  5.564564e-06 -7.730525e-07  1.449045e-08  4.710937e-06  1.333086e-03  3.028981e-07  4.710937e-06  4.944873e-03
608   2.158960e+03  2.996650e+01  5.617553e-06  1.324664e-03  2.996650e+01  2.223599e+01 -7.841831e-07  3.127633e-07  5.617553e-06 -7.841831e-07  1.445469e-08  4.707352e-06  1.324664e-03  3.127633e-07  4.707352e-06  4.949339e-03
