 #L        TxT           TxE           TxP           TxW1          ExT           ExE           ExP           ExW1          PxT           PxE           PxP           PxW1          W1xT          W1xE          W1xP         W1xW1       
38    1.190889e+03  1.857192e+00  1.002791e-03  4.799396e-02  1.857192e+00  4.790065e-02 -5.015683e-07  5.052040e-06  1.002791e-03 -5.015683e-07  1.383876e-07  6.179445e-06  4.799396e-02  5.052040e-06  6.179445e-06  4.449070e-04
39    1.209121e+03  1.812805e+00  9.807462e-04  4.759854e-02  1.812805e+00  5.231864e-02 -2.952801e-07  5.129178e-06  9.807462e-04 -2.952801e-07  1.381847e-07  6.281456e-06  4.759854e-02  5.129178e-06  6.281456e-06  4.635110e-04
40    1.227541e+03  1.757261e+00  9.595868e-04  4.719060e-02  1.757261e+00  5.697532e-02 -1.410938e-07  5.356978e-06  9.595868e-04 -1.410938e-07  1.379433e-07  6.379213e-06  4.719060e-02  5.356978e-06  6.379213e-06  4.821170e-04
41    1.246061e+03  1.689346e+00  9.390146e-04  4.676964e-02  1.689346e+00  6.186747e-02 -9.214821e-08  5.729994e-06  9.390146e-04 -9.214821e-08  1.376654e-07  6.472796e-06  4.676964e-02  5.729994e-06  6.472796e-06  5.007074e-04
42    1.264685e+03  1.610053e+00  9.189790e-04  4.633708e-02  1.610053e+00  6.700807e-02 -1.290331e-07  6.190445e-06  9.189790e-04 -1.290331e-07  1.373534e-07  6.562329e-06  4.633708e-02  6.190445e-06  6.562329e-06  5.192711e-04
43    1.283425e+03  1.520530e+00  8.994915e-04  4.589483e-02  1.520530e+00  7.241392e-02 -2.142006e-07  6.667465e-06  8.994915e-04 -2.142006e-07  1.370097e-07  6.647941e-06  4.589483e-02  6.667465e-06  6.647941e-06  5.377984e-04
44    1.302332e+03  1.420318e+00  8.805635e-04  4.544479e-02  1.420318e+00  7.809972e-02 -3.101031e-07  7.090189e-06  8.805635e-04 -3.101031e-07  1.366368e-07  6.729766e-06  4.544479e-02  7.090189e-06  6.729766e-06  5.562797e-04
45    1.321470e+03  1.308656e+00  8.622064e-04  4.498886e-02  1.308656e+00  8.407732e-02 -3.791929e-07  7.387752e-06  8.622064e-04 -3.791929e-07  1.362369e-07  6.807934e-06  4.498886e-02  7.387752e-06  6.807934e-06  5.747055e-04
46    1.340807e+03  1.185194e+00  8.444252e-04  4.452875e-02  1.185194e+00  9.035392e-02 -3.948504e-07  7.504645e-06  8.444252e-04 -3.948504e-07  1.358126e-07  6.882576e-06  4.452875e-02  7.504645e-06  6.882576e-06  5.930671e-04
47    1.360324e+03  1.049388e+00  8.271991e-04  4.406546e-02  1.049388e+00  9.692982e-02 -3.741693e-07  7.446782e-06  8.271991e-04 -3.741693e-07  1.353654e-07  6.953819e-06  4.406546e-02  7.446782e-06  6.953819e-06  6.113595e-04
48    1.379995e+03  9.006221e-01  8.105009e-04  4.359979e-02  9.006221e-01  1.037967e-01 -3.451716e-07  7.235430e-06  8.105009e-04 -3.451716e-07  1.348971e-07  7.021788e-06  4.359979e-02  7.235430e-06  7.021788e-06  6.295788e-04
49    1.399809e+03  7.383576e-01  7.943035e-04  4.313253e-02  7.383576e-01  1.109456e-01 -3.358793e-07  6.891860e-06  7.943035e-04 -3.358793e-07  1.344092e-07  7.086610e-06  4.313253e-02  6.891860e-06  7.086610e-06  6.477210e-04
50    1.419820e+03  5.621928e-01  7.785795e-04  4.266449e-02  5.621928e-01  1.183785e-01 -3.743141e-07  6.437341e-06  7.785795e-04 -3.743141e-07  1.339034e-07  7.148410e-06  4.266449e-02  6.437341e-06  7.148410e-06  6.657821e-04
51    1.440088e+03  3.720377e-01  7.633097e-04  4.219645e-02  3.720377e-01  1.260991e-01 -4.780855e-07  5.895209e-06  7.633097e-04 -4.780855e-07  1.333811e-07  7.207311e-06  4.219645e-02  5.895209e-06  7.207311e-06  6.837587e-04
52    1.460559e+03  1.688431e-01  7.485066e-04  4.172908e-02  1.688431e-01  1.341119e-01 -6.231525e-07  5.297077e-06  7.485066e-04 -6.231525e-07  1.328436e-07  7.263418e-06  4.172908e-02  5.297077e-06  7.263418e-06  7.016486e-04
